alert,destination-ip,destination-port,full_log,hostname,platform,priority,source-ip,source-port,time
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:05"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:05"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:06"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:06"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:07"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:07"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:08"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:08"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:09"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:09"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:10"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:10"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:11"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:11"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:12"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:12"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:13"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:13"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:14"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:14"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:15"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:15"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:16"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:16"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:17"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:17"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:18"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:18"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:19"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:16:19"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:16:20"
